"Timestamp","How old are you?","To which gender do you identify the most?","Which specialization fits you the most?","Do you have any experience in other specializations?","In which? *select all choices that apply","Do you work for a company or freelance?","How many years of work experience do you have?","Have you ever worked with developers on a project?","Have you ever worked with designers on a project? ","How did you work?","If you worked remotely, was your team in the same time zone?","How many people were on the team?","How long did you work with the team?","At what stage in the project did you begin working with the team?","What was the main form of communication in your team? *select all the answers that apply","How often did you communicate with the team?","Who did you communicate with the most? *select all the answers that apply","Do you think that the team communicated well enough?","How much could you affect the project decisions?","Have you been in a situation that you were not aware of the status of the project?","Have you experienced a conflict in the team?","What was the type of conflict? *select all answers that apply","Have you experienced difficulties in synchronization between user experience and front end development?","Have you experienced difficulties in synchronization between front end and back end development?","If yes, what was the reason for it? *select all the answers that apply","Did the team manage to resolve the conflict?","Did the outcome of the conflict made you change your work?","Did you update your work willingly in order to resolve the conflict?","Did the conflict influence your ability to complete your task?","How did the conflict influence on the project? ","Did the conflict cause the project failure?","What would contribute to your team?","Are there any other thoughts, stories, or comments regarding conflicts that you would like to share?"
"2021/03/22 8:31:44 pm EET","20-24","Male","Back-end developer","Yes","Front-end developer","Company","Less than 3","","Yes","Remote","Yes","6-10","More than a year","Implementation","In person meetings;Online meetings","Every day","Back – end developers","Yes","My suggestions are sometimes considered","Yes","Yes","Task conflict","Yes","Yes","Infrequent information exchanging","Yes","No","Yes","Yes","Positive","No","Better communication",""
"2021/03/22 8:34:39 pm EET","20-24","Male","Back-end developer","Yes","Front-end developer","Freelance","Less than 3","Yes","Yes","Remote","Yes","6-10","1-6 months","Researching and planning","Online meetings;Messages via WhatsApp","Several times a week","User experience designers;Front – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","Yes","Yes","Misunderstanding;Infrequent information exchanging;Lack of knowledge","Yes","Yes","Yes","Yes","Positive","No","Better communication",""
"2021/03/22 9:09:23 pm EET","25-34","Female","User experience designer","No","","Company","Less than 3","Yes","","Remote","Yes","3-5","1-6 months","Prototyping","Slack ","Several times a week","User experience designers;Front – end developers","Yes","My suggestions are usually considered","Yes","No","Task conflict","Yes","No","Lack of knowledge;Well, we use a microsoft thing since they are our partners, so the design needs to fit that rather than our own ideas","","","","","","","Training","Well I work both freelance and contract, so I would have liked to have the option to choose both, and also there was a question where I wrote down no but I still had to reply the next question though it did not apply., Also I just started working in Product Design so I'll probably see more in the future"
"2021/03/23 5:05:41 pm EET","20-24","Female","Back-end developer","Yes","Front-end developer;Back-end developer","Company","Less than 3","Yes","Yes","Local","","3-5","1-6 months","Implementation","In person meetings;Online meetings","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","Yes","Misunderstanding;Infrequent information exchanging;Lack of knowledge;Deadlines","Yes","No","Yes","No","Negative","Yes","Training",""
"2021/03/24 10:38:18 am EET","25-34","Male","Front-end developer","Yes","Front-end developer;Back-end developer","Company","3-5","Yes","Yes","Remote","Yes","6-10","More than a year","Prototyping","Online meetings","Every day","User experience designers;Front – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","Yes","Lack of knowledge","Yes","Yes","Yes","Yes","Positive","Yes","Training",""
"2021/03/24 10:45:09 am EET","20-24","Male","Back-end developer","Yes","Front-end developer;Back-end developer","Company","Less than 3","Yes","Yes","Remote","Yes","6-10","1-6 months","Researching and planning","In person meetings;Via Email;Online meetings;Skype","Every day","User experience designers;Front – end developers","Yes","My suggestions are usually considered","No","No","Task conflict","No","Yes","Deadlines","Yes","Yes","Yes","No","Positive","No","Training","No"
"2021/03/24 10:47:11 am EET","20-24","Male","Front-end developer","Yes","Front-end developer;Back-end developer","Company","Less than 3","Yes","Yes","Local","Yes","3-5","1-6 months","Researching and planning","In person meetings;Via Email;Online meetings","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","No","Yes","Misunderstanding","Yes","No","Yes","No","Positive","No","More members (in other specify which specializations)","No"
"2021/03/24 10:50:19 am EET","20-24","Male","Front-end developer","Yes","User experience designer","Company","3-5","","Yes","Local","No","6-10","1-6 months","Researching and planning","Via Email","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","No","Yes","Misunderstanding","Yes","No","Yes","No","Positive","No","Better communication",""
"2021/03/24 10:50:22 am EET","25-34","Female","User experience designer","Yes","User experience designer","Company","3-5","Yes","Yes","Local","","11 or more","More than a year","Design delivery","In person meetings;Via Email;Online meetings","Several times a week","User experience designers;Front – end developers;Back – end developers","No","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","No","","Yes","No","Yes","Yes","Negative","No","Better communication",""
"2021/03/24 10:52:16 am EET","25-34","Female","Front-end developer","Yes","User experience designer;Front-end developer;Back-end developer","Company","3-5","Yes","Yes","Local","Yes","11 or more","More than a year","Researching and planning","In person meetings;Via Email;Online meetings;Skype, Slack","Every day","Front – end developers;Back – end developers","Yes","My suggestions are always considered","Yes","Yes","Task conflict;Relationship conflict;Value conflict","Yes","Yes","Misunderstanding;Infrequent information exchanging;Deadlines","Yes","Yes","Yes","No","Positive","No","Better communication",""
"2021/03/24 10:57:31 am EET","25-34","Male","Back-end developer","Yes","Front-end developer","Company","Less than 3","Yes","Yes","Local","Yes","3-5","7-12 months","Prototyping","In person meetings;Via Email;Skype","Every day","Front – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","Yes","Deadlines","Yes","No","Yes","Yes","Negative","No","Training",""
"2021/03/24 11:00:50 am EET","20-24","Male","Back-end developer","No","","Company","Less than 3","Yes","Yes","Local","","11 or more","More than a year","Implementation","In person meetings","Every day","Front – end developers;Back – end developers","Yes","My suggestions are always considered","No","No","Task conflict","No","No","","","","","","","","More members (in other specify which specializations)",""
"2021/03/24 11:02:26 am EET","25-34","Female","Front-end developer","Yes","Back-end developer","Company","Less than 3","Yes","Yes","Remote","Yes","11 or more","7-12 months","Implementation","Online meetings","Every day","Front – end developers","Yes","My suggestions are usually considered","Yes","No","Task conflict","Yes","Yes","Misunderstanding;Lack of knowledge","Yes","No","Yes","Yes","Positive","No","Training",""
"2021/03/24 11:06:58 am EET","20-24","Male","Front-end developer","No","Front-end developer","Company","Less than 3","Yes","Yes","Local","Yes","6-10","7-12 months","Implementation","In person meetings;Online meetings;Skype/Rocket chat","Every day","Front – end developers;Back – end developers","Yes","They listen to my suggestions but rarely take them into consideration","No","No","Task conflict","Yes","Yes","Misunderstanding;Deadlines","Yes","No","Yes","No","","","Training","You shouldn't make it radio buttons on answers where it can be both or multiple answers. For example worked local or remote, both options should be available if someone worked both ways etc."
"2021/03/24 11:17:55 am EET","20-24","Female","Front-end developer","No","Front-end developer","Company","Less than 3","Yes","Yes","Local","","11 or more","1-6 months","Implementation","In person meetings;Online meetings","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are sometimes considered","Yes","No","Task conflict","No","No","","","","","","","","Training",""
"2021/03/24 11:18:40 am EET","25-34","Male","Front-end developer","No","","Company","3-5","Yes","Yes","Local","","3-5","1-6 months","Researching and planning","In person meetings;Via Email;Online meetings;slack, skype...","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are always considered","No","Yes","Task conflict;Relationship conflict","No","Yes","Misunderstanding;Infrequent information exchanging;Lack of knowledge;Deadlines","Yes","No","No","No","Negative","No","Better communication",""
"2021/03/24 11:20:14 am EET","25-34","Male","Front-end developer","Yes","Front-end developer;Back-end developer","Freelance","3-5","Yes","Yes","Remote","Yes","6-10","More than a year","Prototyping","Online meetings","Every day","Front – end developers;Back – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","Yes","Yes","Lack of knowledge","Yes","Yes","Yes","Yes","Positive","No","Training",""
"2021/03/24 11:25:37 am EET","25-34","Male","Front-end developer","Yes","Back-end developer","Company","6-10","Yes","Yes","Remote","No","11 or more","More than a year","Implementation","Online meetings","Every day","Front – end developers;Back – end developers","Yes","They listen to my suggestions but rarely take them into consideration","Yes","Yes","Relationship conflict","Yes","Yes","Misunderstanding;Infrequent information exchanging;Lack of knowledge;Deadlines","Yes","No","Yes","No","Negative","No","Better communication",""
"2021/03/24 11:27:44 am EET","20-24","Male","Front-end developer","No","","Company","Less than 3","","Yes","Remote","Yes","6-10","1-6 months","Implementation","Online meetings","Every day","Front – end developers","No","They listen to my suggestions but rarely take them into consideration","Yes","Yes","Task conflict","Yes","Yes","Deadlines;Poor leadership, not well defined project, in combination with deadlines","No","No","Yes","Yes","Negative","No","Better communication","Part of the survey about the project was a bit weird considering that many people worked on multiple projects, with multiple different teams etc. So I aligned my answers to match the team I am currently working with. Another thing that I felt is missing, and is a problem at least in some workplaces is lack of communication caused by poor leadership and undefined responsibilities. What I mean by that is when one part of the team, be it design, back-end, or the management, passes the work to the next team, and moves on. Any attempt of communication is halted by the notion that their work is ""done"", rest is up to you. I've been in this situation before, and it feels pretty powerless when you know things aren't going to work out, and there is nothing you can do about it, but you very well know you are going to be the one who's responsible. This might not be the direct aim of this survey, but I feel is hard to neglect."
"2021/03/24 11:54:19 am EET","20-24","Male","Front-end developer","No","","Company","Less than 3","","Yes","Local","Yes","3-5","1-6 months","Researching and planning","In person meetings;Via Email;Online meetings","Several times a week","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are usually considered","No","No","Task conflict","No","Yes","Misunderstanding;Lack of knowledge;Deadlines","Yes","Yes","Yes","No","Negative","No","Better communication",""
"2021/03/24 12:26:09 pm EET","25-34","Female","User experience designer","No","","Company","3-5","Yes","Yes","Local","Yes","3-5","1-6 months","Design delivery","In person meetings;Via Email;Online meetings;Messages via WhatsApp","Several times a week","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are always considered","No","No","Task conflict","No","No","","Yes","No","Yes","No","Positive","No","Training",""
"2021/03/24 1:01:07 pm EET","20-24","Female","User experience designer","Yes","Front-end developer","Freelance","3-5","Yes","Yes","Remote","Yes","6-10","1-6 months","Researching and planning","Via Email;Online meetings;Messages via WhatsApp","Several times a week","Front – end developers","No","My suggestions are usually considered","Yes","Yes","Task conflict;Relationship conflict","Yes","No","Misunderstanding;Infrequent information exchanging;Lack of knowledge;Deadlines","Yes","Yes","Yes","No","Positive","No","Better communication for sure, but also some trainings since it was a start up and I think everybody need to have some basic knowledge in other specializations they are working with ","As a designer, I was in a situation where I create something relevant to me, but it was hard for developers to implement exact the same prototype. Since I'm kinda a perfectionist, this is I think a relationship conflict. Also, it depends on personalities and individuals if there will be there more or less conflicts and it is also a problem in psychology. From software development view, it is important to put users in the first place and we should keep them in mind during our work!"
"2021/03/24 1:09:38 pm EET","25-34","Male","Back-end developer","Yes","Front-end developer","Company","6-10","Yes","Yes","Remote","No","6-10","7-12 months","Implementation","Online meetings","Every day","Front – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict;Relationship conflict","No","Yes","Infrequent information exchanging","Yes","Yes","Yes","No","Negative","No","Better communication",""
"2021/03/24 1:14:50 pm EET","35-44","Male","Back-end developer","Yes","Front-end developer","Company","11 or more","","Yes","Remote","Yes","3-5","More than a year","Researching and planning","Online meetings;Slack","Every day","Back – end developers","Yes","My suggestions are always considered","No","No","Task conflict","No","No","","","","","","","","Better communication",""
"2021/03/24 1:15:20 pm EET","25-34","Female","Front-end developer","Yes","Front-end developer","Company","Less than 3","Yes","Yes","Local","Yes","6-10","More than a year","Wireframing","Online meetings","Every day","Front – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","Yes","Lack of knowledge","Yes","Yes","Yes","Yes","Positive","Yes","Better communication",""
"2021/03/24 1:16:38 pm EET","20-24","Male","Front-end developer","Yes","User experience designer;Front-end developer;Back-end developer","Company","Less than 3","No","Yes","Remote","Yes","3-5","1-6 months","Implementation","Online meetings","Every day","Front – end developers;Back – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","No","Yes","Deadlines","Yes","Yes","Yes","Yes","Positive","No","Training",""
"2021/03/24 1:47:35 pm EET","20-24","Male","Back-end developer","Yes","Front-end developer;Back-end developer","Company","Less than 3","","Yes","Local","","11 or more","7-12 months","Implementation","In person meetings;Via Email;Online meetings","Every day","Front – end developers;Back – end developers","Yes","My suggestions are always considered","No","Yes","Task conflict","No","Yes","Misunderstanding;Infrequent information exchanging","Yes","Yes","Yes","No","Positive","No","Better communication",""
"2021/03/24 1:49:48 pm EET","25-34","Male","Front-end developer","Yes","Front-end developer;Back-end developer","Freelance","3-5","Yes","Yes","Remote","Yes","6-10","More than a year","Prototyping","Online meetings","Every day","Front – end developers;Back – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","Yes","Yes","Lack of knowledge","Yes","Yes","Yes","Yes","Positive","No","Training",""
"2021/03/24 2:01:15 pm EET","25-34","Male","Back-end developer","Yes","User experience designer;Front-end developer;Back-end developer","Company","11 or more","Yes","Yes","Local","","6-10","More than a year","Implementation","In person meetings;Online meetings","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","No","Yes","Misunderstanding;Lack of knowledge","Yes","Yes","Yes","Yes","Positive","No","Better communication",""
"2021/03/24 2:40:59 pm EET","20-24","Female","Back-end developer","Yes","Front-end developer","Company","Less than 3","","No","Local","Yes","6-10","More than a year","Implementation","In person meetings;Online meetings","Every day","Front – end developers;Back – end developers","Yes","My suggestions are always considered","Yes","Yes","Task conflict","No","No","","Yes","No","No","No","Positive","No","Better communication",""
"2021/03/24 3:26:01 pm EET","20-24","Male","Front-end developer","No","","Company","Less than 3","Yes","Yes","Remote","Yes","11 or more","1-6 months","Implementation","Online meetings","Every day","Front – end developers","Yes","My suggestions are sometimes considered","No","Yes","Relationship conflict","Yes","Yes","Deadlines","Yes","No","Yes","Yes","Positive","No","Better communication",""
"2021/03/24 3:27:19 pm EET","25-34","Male","Front-end developer","Yes","Back-end developer","Company","Less than 3","Yes","Yes","Remote","Yes","3-5","More than a year","Implementation","Online meetings","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are sometimes considered","No","No","Task conflict","No","No","","","","","","","","Training",""
"2021/03/24 3:28:03 pm EET","20-24","Female","User experience designer","Yes","Front-end developer","Company","Less than 3","Yes","","Local","","11 or more","7-12 months","From the beginning.","In person meetings;Online meetings","Several times a week","User experience designers","Yes","My suggestions are usually considered","No","Yes","Task conflict;Relationship conflict","Yes","Yes","Infrequent information exchanging","Yes","No","Yes","Yes","Positive","No","Better communication",""
"2021/03/24 3:35:35 pm EET","25-34","Male","Back-end developer","No","Back-end developer","Company","Less than 3","","Yes","Local","","11 or more","More than a year","Implementation","In person meetings","Every day","Back – end developers","Yes","My suggestions are sometimes considered","No","Yes","Task conflict","No","Yes","Misunderstanding","Yes","No","No","No","Positive","No","Better communication",""
"2021/03/24 3:39:17 pm EET","25-34","Male","Back-end developer","Yes","Front-end developer","Company","Less than 3","Yes","Yes","Remote","Yes","3-5","1-6 months","Researching and planning","Online meetings","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","No","","","","","","","","Rewriting old hard to maintain architecture",""
"2021/03/24 3:42:41 pm EET","25-34","Male","Back-end developer","No","","Company","Less than 3","Yes","No","Remote","Yes","3-5","More than a year","Implementation","Online meetings","Every day","Front – end developers;Back – end developers","No","My suggestions are usually considered","No","No","Task conflict","No","Yes","Misunderstanding","Yes","Yes","Yes","Yes","Positive","No","Better communication",""
"2021/03/24 3:52:57 pm EET","25-34","Male","Front-end developer","Yes","Back-end developer","Company","Less than 3","Yes","Yes","Remote","Yes","3-5","1-6 months","Requirements gathering","Online meetings","Every day","Front – end developers;Back – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","Yes","Misunderstanding","Yes","","","","","","More members (in other specify which specializations)",""
"2021/03/24 10:39:35 pm EET","25-34","Male","Front-end developer","Yes","User experience designer;Back-end developer","Company","3-5","Yes","Yes","Local","","3-5","7-12 months","Implementation","Slack & discord","Every day","Back – end developers","Yes","My suggestions are usually considered","No","No","Task conflict","No","Yes","Misunderstanding;Lack of knowledge","Yes","Yes","Yes","No","Positive","No","Training",""
"2021/03/24 11:04:10 pm EET","20-24","Male","Front-end developer","No","","Company","Less than 3","","Yes","Remote","No","6-10","1-6 months","Implementation","Online meetings","Every day","User experience designers;Front – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","Yes","No","Misunderstanding","Yes","Yes","Yes","No","Positive","No","Better communication","Find a different term that all can agree on for something that doesn't mean the same thing for a developer and designer"
"2021/03/24 11:06:55 pm EET","20-24","Male","Back-end developer","Yes","Back-end developer","Freelance","6-10","","No","Local","","6-10","1-6 months","Researching and planning","In person meetings","Several times a week","Back – end developers","Yes","My suggestions are always considered","Yes","Yes","Task conflict","No","Yes","Infrequent information exchanging","Yes","Yes","Yes","No","Positive","No","Training","Conflicts are always an issue in development, but it usually leads to the fact that this has a positive effect on the project, which can only be determined afterwards"
"2021/03/25 5:12:53 am EET","25-34","Female","User experience designer","Yes","User experience designer;Front-end developer","Company","Less than 3","Yes","Yes","Remote","Yes","3-5","7-12 months","Requirements gathering","In person meetings","Several times a week","Front – end developers","Yes","They listen to my suggestions but rarely take them into consideration","No","Yes","Relationship conflict","Yes","No","","No","No","No","No","Positive","No","Training",""
"2021/03/25 2:48:33 pm EET","25-34","Male","Back-end developer","No","Back-end developer","Company","6-10","Yes","Yes","Local","Yes","6-10","More than a year","Prototyping","Online meetings","Every day","Front – end developers;Back – end developers","Yes","My suggestions are always considered","No","Yes","Task conflict","No","Yes","Deadlines","Yes","No","Yes","No","Positive","No","Training",""
"2021/03/25 2:49:55 pm EET","25-34","Male","Back-end developer","No","","Company","6-10","Yes","No","Local","","6-10","More than a year","Researching and planning","In person meetings;Online meetings","Every day","Front – end developers;Back – end developers","Yes","My suggestions are always considered","No","No","Task conflict","Yes","Yes","Misunderstanding;Infrequent information exchanging;Lack of knowledge","Yes","No","No","No","Positive","No","Better communication",""
"2021/03/25 2:50:50 pm EET","25-34","Male","Back-end developer","Yes","Front-end developer","Company","6-10","Yes","No","Local","Yes","11 or more","More than a year","Implementation","In person meetings;Online meetings","Every day","Back – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict;Relationship conflict;Value conflict","Yes","Yes","Misunderstanding;Infrequent information exchanging;Lack of knowledge","Yes","Yes","Yes","Yes","Positive","No","Better communication",""
"2021/03/25 3:04:19 pm EET","35-44","Female","User experience designer","No","","Company","11 or more","Yes","Yes","Local","","6-10","1-6 months","Researching and planning","In person meetings;Via Email;Online meetings","Several times a week","Front – end developers;Back – end developers","Yes","My suggestions are always considered","Yes","Yes","Task conflict;Value conflict","Yes","Yes","Misunderstanding;Infrequent information exchanging;Lack of knowledge;Deadlines;It is expensive to redo the back-end processes even though they might be old and poorly made.","Yes","No","Yes","Yes","Negative","No","Training",""
"2021/03/25 3:21:54 pm EET","25-34","Male","Front-end developer","Yes","Front-end developer;Back-end developer","Company","3-5","","Yes","Local","","6-10","More than a year","Researching and planning","In person meetings;Online meetings","Every day","User experience designers;Back – end developers","No","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","Yes","Lack of knowledge;Deadlines","Yes","Yes","No","No","Positive","No","Better communication",""
"2021/03/26 9:51:45 am EET","25-34","Male","Front-end developer","Yes","Back-end developer","Company","6-10","","Yes","Local","","6-10","7-12 months","Requirements gathering","In person meetings","Every day","User experience designers;Back – end developers","Yes","My suggestions are always considered","No","Yes","Relationship conflict","No","No","","Yes","No","No","No","Negative","No","Training","Learning to communicate in a professional way is very important. One should always take in consideration suggestions given by other team members. Each suggestion needs to be discussed about so that no team member feels neglected or less important. You learn a lot from these discussions :)"
"2021/03/29 1:46:48 pm EET","25-34","Female","Front-end developer","Yes","User experience designer","Company","Less than 3","Yes","Yes","Local","","3-5","More than a year","Wireframing","Slack","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are always considered","Yes","No","Task conflict","No","Yes","Misunderstanding;Lack of knowledge","Yes","No","No","No","Positive","No","More members (in other specify which specializations)",""
"2021/03/29 2:33:04 pm EET","25-34","Female","User experience designer","No","User experience designer","Freelance","Less than 3","Yes","","Local","Yes","3-5","1-6 months","Prototyping","In person meetings","Once a week","User experience designers","Yes","My suggestions are sometimes considered","No","Yes","Relationship conflict","No","No","","Yes","Yes","Yes","No","","No","Better communication",""
"2021/03/29 2:57:35 pm EET","20-24","Female","User experience designer","No","","Company","Less than 3","Yes","","Remote","Yes","6-10","1-6 months","Wireframing","Via Email;Online meetings","Every day","User experience designers","Yes","My suggestions are sometimes considered","Yes","No","Task conflict","No","Yes","Misunderstanding","Yes","Yes","Yes","No","Positive","No","Better communication","I’ve discovered that as a designer it is advisable to know about development terms, not as in depth as a developer would know but some in order to improve communication between parts. However, it is hard to decide the point where it is enough."
"2021/03/29 3:04:45 pm EET","25-34","Male","Front-end developer","Yes","Back-end developer","Company","Less than 3","No","No","Local","Yes","3-5","1-6 months","Researching and planning","In person meetings;Online meetings;Messages via WhatsApp","Several times a week","Back – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","Yes","Yes","Misunderstanding;Infrequent information exchanging","Yes","No","Yes","No","Positive","No","Training",""
"2021/03/29 3:06:10 pm EET","20-24","Male","Front-end developer","Yes","User experience designer;Back-end developer","Company","Less than 3","","Yes","Local","","6-10","7-12 months","Implementation","In person meetings;Via Email","Every day","Front – end developers;Back – end developers","No","Nobody is listening and considering my suggestions","Yes","Yes","Relationship conflict","Yes","Yes","Misunderstanding;Lack of knowledge","Yes","Yes","Yes","Yes","Positive","Yes","Better communication",""
"2021/03/29 7:32:52 pm EET","25-34","Male","Front-end developer","Yes","Front-end developer;Back-end developer","Company","3-5","Yes","Yes","Remote","Yes","6-10","More than a year","Prototyping","Online meetings","Every day","User experience designers;Front – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","Yes","Lack of knowledge","Yes","Yes","Yes","Yes","Positive","Yes","Training",""
"2021/03/30 11:00:32 am EET","35-44","Not listed","User experience designer","No","","Company","6-10","Yes","Yes","Local","No","6-10","More than a year","All of the above :)","In person meetings;Via Email;Online meetings","Every day","User experience designers;Front – end developers;Back – end developers","Yes","My suggestions are always considered","No","Yes","Task conflict","Yes","Yes","All of the above","Yes","No","","","","","More time before product launch :)","no, but regarding the form, many questions are of type ""yes or no"" but im many situations that is not true, it is always a greyscale, so for forms questions i like to have the possibility to fill in ""yes, no and relevant"", for example."
"2021/03/30 5:20:44 pm EET","45-54","Male","User experience designer","No","","Company","11 or more","Yes","","Remote","Yes","6-10","More than a year","Researching and planning","In person meetings;Via Email;Online meetings","Several times a week","Front – end developers;Back – end developers","Yes","My suggestions are usually considered","Yes","Yes","Task conflict","Yes","Yes","Infrequent information exchanging;Deadlines","Yes","Yes","Yes","No","Positive","No","Better communication",""
"2021/04/02 12:11:58 am EET","25-34","Female","Back-end developer","Yes","Front-end developer","Company","6-10","Yes","Yes","Local","","3-5","More than a year","Researching and planning","In person meetings;Online meetings","Every day","Back – end developers","Yes","My suggestions are usually considered","No","Yes","Task conflict","Yes","Yes","Deadlines","Yes","","","","","","More members (in other specify which specializations)",""
